"source","target"
"PRESTIGE","Prestigio"
"POSITION","Posición"
"VALUE","Valor"
"SCALE","Escala"
"GENERAL_SETTINGS","General"
"INPUT_SETTINGS","Entrada"
"NO_JOYPAD_CONNECTED","No hay mando conectado"
"INTERFACE_SETTINGS","Interfaz"
"THEMES","Temas"
"FONT_COLOR","Color de fuente"
"BUTTONS_COLOR","Color de los botones"
"BACKGROUND_COLOR","Color de fondo"
"VIM_MODE","Modo Vim"
"CHANGE","Cambio"
"PERSONS","Personas"
"YEAR","Año"
"COMPETITIONS","Competiciones"
"TODAY","Hoy"
"NO_MATCH","Ningún partido"
"TRANSFERMARKET","Mercado de fichajes"
"NO_TEAM_FOUND","No se encontró equipo"
"NO_COMPETITION_FOUND","No se encontró competencia"
"YES","Sí"
"NO","No"
"EXIT_GAME","¿Salir del juego?"
"RESTORE_DEFAULTS","¿Restaurar la configuración predeterminada?"
"RESTORE_DEFAULTS_TEXT","Todos los ajustes cambiados se perderán y se restaurarán al valor predeterminado."
"SAVE_TEXT","¿Guardar el juego antes de salir al menú?"
"PLAYER_SETTINGS","Configuración de jugadores"
"CHOOSE_TEAM","Elige tu equipo"
"SAVE_STATES","Estados de guardado"
"FINANCES","Finanzas"
"WATCHLIST","Lista de seguimiento"
"SCOUTS","Scouts"
"SCOUT","Scout"
"JOBS","Trabajos"
"HALL_OF_FAME","Salón de la fama"
"HOME","Local"
"AWAY","Visitante"
"GAME_SETTINGS","Configuración del juego"
"WORST","Peor"
"BAD ","Malo"
"NEUTRAL","Neutral"
"GOOD","Bueno"
"BEST","Mejor"
"INJURED","Lesionado"
"RECOVER","Recuperando"
"MAKE_OFFER","Hacer oferta"
"TRANSFERLIST","Lista de transferencias"
"SCREEN_FADE_ANIMATION","Animación de desvanecimiento de pantalla"
"MORALITY","Moralidad"
"NATION","Nación"
"GENERAL","General"
"PHYSICAL","Físico"
"PACE","Velocidad"
"ACCELERATION","Aceleración"
"STAMINA","Resistencia"
"STRENGTH","Fuerza"
"AGILITY","Agilidad"
"JUMP","Saltar"
"TECHNICAL","Técnico"
"CROSSING","Cruzar"
"PASSING","Pasar"
"LONG_PASSING","Pasar largo"
"TACKLING","Abordar"
"HEADING","Encabezar"
"INTERCEPTION","Intercepciónar"
"SHOOTING","Tirar"
"LONG_SHOOTING","Tirar largo"
"PENALTY","Penalti"
"FINISHING","Terminar"
"DRIBBLING","Driblar"
"BLOCKING","Bloquear"
"MENTAL","Mental"
"AGGRESSION","Agresión"
"ANTICIPATION","Anticipación"
"DECISIONS","Decisiones"
"CONCENTRATION","Concentración"
"TEAMWORK","Trabajo en equipo"
"VISION","Visión"
"WORK_RATE","Tasa de trabajo"
"OFFENSIVE_MOVEMENT","Movimiento ofensivo"
"GOALKEEPER","Portero"
"ACTION","Acción"
"AGE","Edad"
"AGENT","Agente"
"AMOUNT","Cantidad"
"ATTACK","Ataque"
"ATTRIBUTES","Atributos"
"AUDIO","Audio"
"BACKUP","Copia de seguridad"
"BITCOIN","Bitcoin"
"BLOCK","Bloque"
"BUY","Comprar"
"CENTER","Centro"
"CITY","Ciudad"
"COMPETITION","Competencia"
"CONFIRM","Confirmar"
"CONTRACT","Contrato"
"CONTINENT","Continente"
"NOTES","Notas"
"","Bulgaria"
"","Cameroon"
"","Central African Republic"
"","Brunei"
"","Burundi"
"","Burma (Myanmar)"
"","Grenada"
"","Haiti"
"","Ghana"
"","El Salvador"
"","Chad"
"","Equatorial Guinea"
"","Honduras"
"","Guatemala"
"","Japan"
"","Guyana"
"","Greece"
"","Georgia"
"","Lesotho"
"","Latvia"
"","Jordan"
"","Kuwait"
"","Kyrgyzstan"
"","Lebanon"
"","Korea, South"
"","Madagascar"
"","Luxembourg"
"","Libya"
"","Malaysia"
"","Malawi"
"","Suriname"
"","Sudan"
"","South Sudan"
"","Switzerland"
"","Tonga"
"","Trinidad and Tobago"
"","Angola"
"","Mozambique"
"","Rwanda"
"","Andorra"
"","Bolivia"
"","East Timor"
"","Moldova"
"","Afghanistan"
"","Qatar"
"","Fiji"
"","Yemen"
"","Senegal"
"","Highlights"
"","Nigeria"
"","Uganda"
"","Jamaica"
"","Turkey"
"","Finland"
"","Venezuela"
"","Slovenia"
"","Dominican Republic"
"","Ivory Coast"
"","Kenya"
"","Malta"
"","Colombia"
"","Dominica"
"","Sao Tome and Principe"
"","Croatia"
"","Namibia"
"","United Kingdom"
"","Ethiopia"
"","Sweden"
"","Swaziland"
"","Zimbabwe"
"","Azerbaijan"
"","You can fix errors or add new languages easily on Weblate, just click on the link below."
"","Democratic Republic of Congo"
"","Eritrea"
"","Bhutan"
"","Bangladesh"
"","Barbados"
"","Mexico"
"","Albania"
"","Saint Lucia"
"","Vatican City"
"","Poland"
"","Portugal"
"","Indonesia"
"","Korea, North"
"","Tajikistan"
"","Belarus"
"","Uzbekistan"
"","Uruguay"
"","Bosnia and Herzegovina"
"","Europe"
"","Palau"
"","Algeria"
"","Seychelles"
"","Vanuatu"
"","Thailand"
"","Saint Kitts and Nevis"
"","Tunisia"
"","Macedonia"
"","Niger"
"","Benin"
"","Kiribati"
"","Bahrain"
"","Only goals"
"","Samoa"
"","Israel"
"","San Marino"
"","India"
"","North America"
"","Sri Lanka"
"","Antigua and Barbuda"
"","South America"
"","Turkmenistan"
"","Ukraine"
"","Papua New Guinea"
"","Restoring backup…"
"","Keyboard"
"","Saint Vincent and the Grenadines"
"","France"
"","Ecuador"
"","Slovakia"
"","Gambia"
"","Zambia"
"","Vietnam"
"","South Africa"
"","Serbia"
"","Egypt"
"","Norway"
"","Montenegro"
"","Kazakhstan"
"","Syria"
"","Russian Federation"
"","United Arab Emirates"
"","Saudi Arabia"
"","Pakistan"
"","Singapore"
"","Nicaragua"
"","Tanzania"
"","Togo"
"","Djibouti"
"","Estonia"
"","Sierra Leone"
"","Solomon Islands"
"","Monaco"
"","Asia"
"","Mali"
"","Africa"
"","Micronesia"
"","Botswana"
"","Oceania"
"","Morocco"
"","Hungary"
"","Sound effects volume"
"","Joypad"
"","Input type"
"","Input detection mode"
"","Armenia"
"","Austria"
"","Belize"
"","Lithuania"
"","Liechtenstein"
"","Mauritania"
"","Marshall Islands"
"","Mauritius"
"","Nepal"
"","New Zealand"
"","Nauru"
"","Netherlands"
"","Tuvalu"
"","USA"
"","Joypad status"
"","Touch"
"","Somalia"
"","Ireland"
"","China"
"","Costa Rica"
"","Burkina"
"","Denmark"
"","Iran"
"","Iraq"
"","Iceland"
"","Maldives"
"","Gabon"
"","Germany"
"","Comoros"
"","Cape Verde"
"","Bahamas"
"","Argentina"
"","Chile"
"","Cuba"
"","Paraguay"
"","Oman"
"","Peru"
"","Philippines"
"","Full game"
"","Cyprus"
"","Panama"
"","Mongolia"
"","Laos"
"","Canada"
"","Czech Republic"
"","Congo"
"","Belgium"
"","Liberia"
"","Brazil"
"","Cambodia"
"","Guinea"
"","Guinea-Bissau"
"","Australia"
