"context","target"
"GENERATION_SEED","Codice generazione"
"GENERATION_SEED_DESCRIPTION","GENERATION_SEED_DESCRIPTION"
"PLAYED","Giocate"
"WIN","Vinte"
"DRAW","Pareggi"
"LOST","Perse"
"GOALS","Gol"
"GOALS_CONCEDED","Gol presi"
"POINTS","Punti"
"TACTIC_OFFENSE","Tattica offensiva"
"TACTIC_DEFENSE","Tattica difensiva"
"INTENSITY","Intensità"
"MARKING","Marcatura"
"PRESSING","Pressing"
"CUT_INSIDE","Taglia dentro"
"ROTATION","Rotazione"
"ZONE","Zona"
"FULL_COURT","Tutto campo"
"HALF_COURT","Metà campo"
"NO_PRESS","Niente pressing"
"SUBS","Cambi"
"REST","Resto"
"ALL_POS","Tutte posizioni"
"G","P"
"DL","DS"
"DR","DD"
"DC","DC"
"C","C"
"WL","AS"
"WR","AD"
"PL","PS"
"PR","PD"
"PC","PC"
"ALL_LEAGUES","Tutte leghe"
"ALL_TEAMS","Tutte squadre"
"LOADING_GAME","Caricando la tua partita…"
"SAVING_GAME","Salvando la tua partita…"
"EXIT","Chiudi"
"RANDOM","Casuale"
"DEFAULT","Predefinito"
"INITIALIZE_GAME","Inizializzando gioco…"
"GENERATING_PLAYERS","Generando tutti giocatori…"
"SELECT","Seleziona"
"BUDGET","Bilancio"
"SALARY_BUDGET","Budget salariale"
"STADIUM","Stadio"
"PRESTIGE","Prestigio"
"POSITION","Posizione"
"VALUE","Valore"
"SCALE","Scala"
"GENERAL_SETTINGS","Generale"
"INPUT_SETTINGS","Tasti"
"NO_JOYPAD_CONNECTED","Nessun joypad connesso"
"INTERFACE_SETTINGS","Interfaccia"
"THEMES","Temi"
"FONT_COLOR","Colore scrittura"
"BUTTONS_COLOR","Colore tasti"
"BACKGROUND_COLOR","Colore sfondo"
"VIM_MODE","Modalidità Vim "
"CHANGE","Cambia"
"PERSONS","Persone"
"YEAR","Anno"
"COMPETITIONS","Competizioni"
"TODAY","Oggi"
"NO_MATCH","Nessuna partita"
"TRANSFERMARKET","Sessione mercato"
"NO_TEAM_FOUND","Nessuna squadra trovata"
"NO_COMPETITION_FOUND","Nessuna competizione trovata"
"YES","Sì"
"NO","No"
"EXIT_GAME","Uscire dal gioco?"
"RESTORE_DEFAULTS","Ripristinare le impostazioni predefinite?"
"RESTORE_DEFAULTS_TEXT","Tutte le impostazioni cambiate vanno perse e verranno risettate."
"SAVE_TEXT","Vuoi salvare la partita prima di tornare al menu?"
"PLAYER_SETTINGS","Impostazioni dei giocatori"
"CHOOSE_TEAM","Scegli squadra"
"SAVE_STATES","Salvataggi"
"FINANCES","Finanze"
"WATCHLIST","Lista osservati"
"SCOUTS","Scout"
"SCOUT","Scout"
"JOBS","Lavoro"
"HALL_OF_FAME","Hall of fame"
"HOME","Casa"
"AWAY","Fuoricasa"
"GAME_SETTINGS","Impostazioni di gioco"
"WORST","Peggiore"
"BAD ","Male"
"NEUTRAL","Neutrale"
"GOOD","Buona"
"BEST","Migliore"
"INJURED","Infortunato"
"RECOVER","Recupero"
"MAKE_OFFER","Fai offerta"
"TRANSFERLIST","Lista trasferimenti"
"SCREEN_FADE_ANIMATION","Animazione cambio scermata"
"MORALITY","Morale"
"NATION","Nazione"
"GENERAL","Generale"
"PHYSICAL","Fisico"
"PACE","Velocità"
"ACCELERATION","Accelerazione"
"STAMINA","Resistenza"
"STRENGTH","Forza"
"AGILITY","Agilità"
"JUMP","Salto"
"TECHNICAL","Tecnica"
"CROSSING","Crossare"
"PASSING","Passaggio"
"LONG_PASSING","Passaggio lungo"
"TACKLING","Contrasto"
"HEADING","Colpo di testa"
"INTERCEPTION","Intercettazione"
"SHOOTING","Tiro"
"LONG_SHOOTING","Tiro da lontano"
"PENALTY","Rigore"
"FINISHING","Finalizzazione"
"DRIBBLING","Dribbling"
"BLOCKING","Bloccare"
"MENTAL","Mentale"
"AGGRESSION","Agressività"
"ANTICIPATION","Anticipazione"
"DECISIONS","Decisioni"
"CONCENTRATION","Concentrazione"
"TEAMWORK","Gioco di squadra"
"VISION","Visione"
"WORK_RATE","Intensità lavoro"
"OFFENSIVE_MOVEMENT","Movimenti offensivi"
"GOALKEEPER","Portiere"
"ACTION","Azione"
"AGE","Età"
"AGENT","Agente"
"AMOUNT","Quantità"
"ATTACK","Attacco"
"ATTRIBUTES","Attributi"
"AUDIO","Suono"
"BACKUP","Backup"
"BITCOIN","Bitcoin"
"BLOCK","Bloccare"
"BUY","Comprare"
"CENTER","Centro"
"CITY","Città"
"COMPETITION","Competizione"
"CONFIRM","Conferma"
"CONTRACT","Contratto"
"CONTINENT","Continente"
"NOTES","Note"
"FULL_GAME","Partita intera"
"KEY_ACTIONS","Azioni chiave"
"ONLY_GOALS","Solo gol"
"RESTORING_BACKUP","backup in ripristino"
"COMOROS","Comore"
"CONGO","Congo"
"COSTA_RICA","Costa Rica"
"CROATIA","Croazia"
"CUBA","Cuba"
"CYPRUS","Cipro"
"CZECH_REPUBLIC","Repubblica Ceca"
"DOMINICA","Dominica"
"FRANCE","Francia"
"GABON","Gabon"
"GAMBIA","Gambia"
"GEORGIA","Georgia"
"GERMANY","Germania"
"MOZAMBIQUE","Mozambico"
"NAMIBIA","Namibia"
"NAURU","Nauru"
"NEPAL","Nepal"
"NETHERLANDS","Paesi Bassi"
"NEW_ZEALAND","Nuova Zelanda"
"NICARAGUA","Nicaragua"
"NIGER","Niger"
"NIGERIA","Nigeria"
"NORWAY","Norvegia"
"OMAN","Oman"
"PAKISTAN","Pakistan"
"PALAU","Palau"
"PANAMA","Panamá"
"SAO_TOME_AND_PRINCIPE","São Tomé e Príncipe"
"SOLOMON_ISLANDS","Isole Salomone"
"TAJIKISTAN","Tagikistan"
"TANZANIA","Tanzania"
"NORTH_AMERICA","Nord America"
"OCEANIA","Oceania"
"ANTIGUA_AND_BARBUDA","Antigua e Barbuda"
"DEMOCRATIC_REPUBLIC_OF_CONGO","Repubblica Democratica del Congo"
"DENMARK","Danimarca"
"DJIBOUTI","Gibuti"
"HUNGARY","Ungheria"
"ICELAND","Islanda"
"INDIA","India"
"INDONESIA","Indonesia"
"JAPAN","Giappone"
"JORDAN","Giordania"
"KAZAKHSTAN","Kazakistan"
"KENYA","Kenya"
"KIRIBATI","Kiribati"
"PORTUGAL","Portogallo"
"QATAR","Qatar"
"RUSSIAN_FEDERATION","Russia"
"RWANDA","Ruanda"
"SAINT_KITTS_AND_NEVIS","Saint Kitts e Nevis"
"SAINT_VINCENT_AND_THE_GRENADINES","Saint Vincent e Grenadine"
"SEYCHELLES","Seychelles"
"SIERRA_LEONE","Sierra Leone"
"VENEZUELA","Venezuela"
"KEYBOARD","Tastiera"
"TOUCH","Tocco"
"AFGHANISTAN","Afghanistan"
"ALBANIA","Albania"
"ALGERIA","Algeria"
"ANDORRA","Andorra"
"ANGOLA","Angola"
"ARGENTINA","Argentina"
"ARMENIA","Armenia"
"AUSTRALIA","Australia"
"AUSTRIA","Austria"
"AZERBAIJAN","Azerbaigian"
"BAHAMAS","Bahamas"
"BAHRAIN","Bahrein"
"BANGLADESH","Bangladesh"
"BARBADOS","Barbados"
"BELARUS","Bielorussia"
"BELGIUM","Belgio"
"BELIZE","Belize"
"BENIN","Benin"
"BHUTAN","Bhutan"
"BOLIVIA","Bolivia"
"BOSNIA_AND_HERZEGOVINA","Bosnia ed Erzegovina"
"BOTSWANA","Botswana"
"BRAZIL","Brasile"
"BRUNEI","Brunei"
"BULGARIA","Bulgaria"
"BURUNDI","Burundi"
"CAMBODIA","Cambogia"
"CAMEROON","Camerun"
"CANADA","Canada"
"CAPE_VERDE","Capo Verde"
"CENTRAL_AFRICAN_REPUBLIC","Repubblica Centrafricana"
"CHAD","Ciad"
"CHILE","Cile"
"CHINA","Cina"
"COLOMBIA","Colombia"
"DOMINICAN_REPUBLIC","Repubblica Dominicana"
"EAST_TIMOR","Timor Est"
"ECUADOR","Ecuador"
"EGYPT","Egitto"
"EL_SALVADOR","El Salvador"
"EQUATORIAL_GUINEA","Guinea Equatoriale"
"ERITREA","Eritrea"
"ESTONIA","Estonia"
"ETHIOPIA","Etiopia"
"FIJI","Figi"
"FINLAND","Finlandia"
"GHANA","Ghana"
"GREECE","Grecia"
"GRENADA","Grenada"
"GUATEMALA","Guatemala"
"GUINEA","Guinea"
"GUINEA-BISSAU","Guinea-Bissau"
"GUYANA","Guyana"
"HAITI","Haiti"
"HONDURAS","Honduras"
"IRAN","Iran"
"IRAQ","Iraq"
"IRELAND","Irlanda"
"ISRAEL","Israele"
"IVORY_COAST","Costa d'Avorio"
"JAMAICA","Giamaica"
"KUWAIT","Kuwait"
"KYRGYZSTAN","Kirghizistan"
"LAOS","Laos"
"LATVIA","Lettonia"
"LEBANON","Libano"
"LESOTHO","Lesotho"
"LIBERIA","Liberia"
"LIBYA","Libia"
"LIECHTENSTEIN","Liechtenstein"
"LITHUANIA","Lituania"
"LUXEMBOURG","Lussemburgo"
"MACEDONIA","Repubblica di Macedonia"
"MADAGASCAR","Madagascar"
"MALAWI","Malawi"
"MALAYSIA","Malesia"
"MALDIVES","Maldive"
"MALI","Mali"
"MALTA","Malta"
"MARSHALL_ISLANDS","Isole Marshall"
"MAURITANIA","Mauritania"
"MAURITIUS","Mauritius"
"MEXICO","Messico"
"MICRONESIA","Stati Federati di Micronesia"
"MOLDOVA","Moldavia"
"MONACO","Principato di Monaco"
"MONGOLIA","Mongolia"
"MONTENEGRO","Montenegro"
"MOROCCO","Marocco"
"PAPUA_NEW_GUINEA","Papua Nuova Guinea"
"PARAGUAY","Paraguay"
"PERU","Perù"
"PHILIPPINES","Filippine"
"POLAND","Polonia"
"SAINT_LUCIA","Santa Lucia"
"SAMOA","Samoa"
"SAN_MARINO","San Marino"
"SAUDI_ARABIA","Arabia Saudita"
"SENEGAL","Senegal"
"SERBIA","Serbia"
"SINGAPORE","Singapore"
"SLOVAKIA","Slovacchia"
"SLOVENIA","Slovenia"
"SOMALIA","Somalia"
"SOUTH_AFRICA","Sud Africa"
"SOUTH_SUDAN","Sudan del Sud"
"SRI_LANKA","Sri Lanka"
"SUDAN","Sudan"
"SURINAME","Suriname"
"SWEDEN","Svezia"
"SWITZERLAND","Svizzera"
"SYRIA","Siria"
"THAILAND","Thailandia"
"TOGO","Togo"
"TONGA","Tonga"
"TRINIDAD_AND_TOBAGO","Trinidad e Tobago"
"TUNISIA","Tunisia"
"TURKEY","Turchia"
"TURKMENISTAN","Turkmenistan"
"TUVALU","Tuvalu"
"UGANDA","Uganda"
"UKRAINE","Ucraina"
"UNITED_ARAB_EMIRATES","Emirati Arabi Uniti"
"UNITED_KINGDOM","Regno Unito"
"URUGUAY","Uruguay"
"USA","USA"
"UZBEKISTAN","Uzbekistan"
"VANUATU","Vanuatu"
"VIETNAM","Vietnam"
"YEMEN","Yemen"
"ZAMBIA","Zambia"
"ZIMBABWE","Zimbabwe"
"AFRICA","Africa"
"ASIA","Asia"
"EUROPE","Europa"
"SOUTH_AMERICA","Sud America"
"JOYPAD","Joypad"
"INPUT_TYPE","Input type"
"JOYPAD_STATUS","Joypad status"
"SFX_VOLUME","Sound effects volume"
"TRANSLATION_INSTRUCTIONS","You can fix errors or add new languages easily on Weblate, just click on the link below."
"BURKINA","Burkina"
"BURMA_(MYANMAR)","Burma (Myanmar)"
"KOREA_NORTH","Korea, North"
"KOREA_SOUTH","Korea, South"
"SWAZILAND","Swaziland"
"VATICAN_CITY","Vatican City"
"INPUT_DETECTION_MODE","Input detection mode"
