"context","target"
"GENERATION_SEED","Generationskode"
"GENERATION_SEED_DESCRIPTION","GENERATION_SEED_DESCRIPTION"
"PLAYED","Gespielt"
"WIN","Gewonnen"
"DRAW","Ausgleich"
"LOST","Verloren"
"GOALS","Tore"
"GOALS_CONCEDED","Gegentore"
"POINTS","Punkte"
"TACTIC_OFFENSE","Offensivtaktik"
"TACTIC_DEFENSE","Defensivtaktik"
"INTENSITY","Intesität"
"MARKING","Deckung"
"PRESSING","Pressing"
"CUT_INSIDE","Nach innen ziehen"
"ROTATION","Rotation"
"ZONE","Zone"
"FULL_COURT","Ganzes Feld"
"HALF_COURT","Halbes Feld"
"NO_PRESS","Kein Pressing"
"SUBS","Auswechel"
"REST","Rest"
"ALL_POS","Alle Positionen"
"G","T"
"DL","VL"
"DR","VR"
"DC","VZ"
"C","M"
"WL","AL"
"WR","AR"
"PL","PL"
"PR","PR"
"PC","PZ"
"ALL_LEAGUES","Alle Liegen"
"ALL_TEAMS","Alle Teams"
"LOADING_GAME","Dein Spielstand wird geladen…"
"SAVING_GAME","Dein Spielstand wird gespeichert…"
"EXIT","Beenden"
"RANDOM","Zufällig"
"DEFAULT","Standard"
"INITIALIZE_GAME","Spiel wird initialisiert…"
"GENERATING_PLAYERS","Spieler werden generiert…"
"SELECT","Auswählen"
"BUDGET","Budget"
"SALARY_BUDGET","Gehaltsbudget"
"STADIUM","Stadion"
"PRESTIGE","Ansehen"
"POSITION","Position"
"VALUE","Wert"
"SCALE","Skala"
"GENERAL_SETTINGS","Allgemein"
"INPUT_SETTINGS","Eingabe"
"NO_JOYPAD_CONNECTED","Kein Joypad verbunden"
"INTERFACE_SETTINGS","Oberfläche"
"THEMES","Themen"
"FONT_COLOR","Schriftfarbe"
"BUTTONS_COLOR","Knopffarbe"
"BACKGROUND_COLOR","Hintergrundfarbe"
"VIM_MODE","Vim-Modus"
"CHANGE","Ändern"
"PERSONS","Personen"
"YEAR","Jahr"
"COMPETITIONS","Wettbewerbe"
"TODAY","Heute"
"NO_MATCH","Kein Spiel"
"TRANSFERMARKET","Transfermarkt"
"NO_TEAM_FOUND","Keine Mannschaft gefunden"
"NO_COMPETITION_FOUND","Kein Wettebewerb gefunden"
"YES","Ja"
"NO","Nein"
"EXIT_GAME","Spiel verlassen?"
"RESTORE_DEFAULTS","Standardeinstellung wiederherstellen?"
"RESTORE_DEFAULTS_TEXT","Alle Einstellungen gehen verloren und werden zurück gesetzt."
"SAVE_TEXT","Spiel speichern vor verlassen?"
"PLAYER_SETTINGS","Spieler-Einstellungen"
"CHOOSE_TEAM","Wähle dein Team"
"SAVE_STATES","Spielstände"
"FINANCES","Finanzen"
"WATCHLIST","Beobachtungsliste"
"SCOUTS","Scouts"
"SCOUT","Scout"
"JOBS","Jobs"
"HALL_OF_FAME","Hall of fame"
"HOME","Daheim"
"AWAY","Ausärts"
"GAME_SETTINGS","Spieleinstellungen"
"WORST","Schlechteste"
"BAD ","Schlecht"
"NEUTRAL","Neutral"
"GOOD","Gut"
"BEST","Beste"
"INJURED","Verletzt"
"RECOVER","Erholung"
"MAKE_OFFER","Kaufanfrage"
"TRANSFERLIST","Transferliste"
"SCREEN_FADE_ANIMATION","Ansichtswechsel Animation"
"MORALITY","Laune"
"NATION","Nation"
"GENERAL","Allgemein"
"PHYSICAL","Physisch"
"PACE","Geschwindigkeit"
"ACCELERATION","Beschleunigung"
"STAMINA","Ausdauer"
"STRENGTH","Stärke"
"AGILITY","Agilität"
"JUMP","Sprung"
"TECHNICAL","Technik"
"CROSSING","Flanken"
"PASSING","Kurzpass"
"LONG_PASSING","Langpass"
"TACKLING","Grätsche"
"HEADING","Kopfball"
"INTERCEPTION","Ball abfangen"
"SHOOTING","Schießen"
"LONG_SHOOTING","Weitschuss"
"PENALTY","Strafstoße"
"FINISHING","Abschluss"
"DRIBBLING","Dribbling"
"BLOCKING","Blockieren"
"MENTAL","Mental"
"AGGRESSION","Agressivität"
"ANTICIPATION","Antizipation"
"DECISIONS","Entscheidungen"
"CONCENTRATION","Konzentration"
"TEAMWORK","Teamarbeit"
"VISION","Vision"
"WORK_RATE","Arbeitsrate"
"OFFENSIVE_MOVEMENT","Offensivbewegung"
"GOALKEEPER","Tormann"
"ACTION","Aktion"
"AGE","Alter"
"AGENT","Agent"
"AMOUNT","Menge"
"ATTACK","Attacke"
"ATTRIBUTES","Attribute"
"AUDIO","Audio"
"BACKUP","Backup"
"BITCOIN","Bitcoin"
"BLOCK","Blockieren"
"BUY","Kaufen"
"CENTER","Zentrum"
"CITY","Stadt"
"COMPETITION","Wettbewerb"
"CONFIRM","Bestätigen"
"CONTRACT","Vetrag"
"CONTINENT","Kontinent"
"NOTES","Notizen"
"FULL_GAME","Ganzes Spiel"
"KEY_ACTIONS","Highlights"
"ONLY_GOALS","Nur Tore"
"AFGHANISTAN","Afghanistan"
"ALBANIA","Albanien"
"ALGERIA","Algerien"
"DOMINICAN_REPUBLIC","Dominikanische Republik"
"EAST_TIMOR","Osttimor"
"ECUADOR","Ecuador"
"GUYANA","Guyana"
"HAITI","Haiti"
"HONDURAS","Honduras"
"HUNGARY","Ungarn"
"ICELAND","Island"
"INDONESIA","Indonesien"
"PORTUGAL","Portugal"
"SAINT_LUCIA","St. Lucia"
"SAINT_VINCENT_AND_THE_GRENADINES","St. Vincent und die Grenadinen"
"URUGUAY","Uruguay"
"USA","USA"
"UZBEKISTAN","Usbekistan"
"ZIMBABWE","Simbabwe"
"SAN_MARINO","San Marino"
"SAO_TOME_AND_PRINCIPE","São Tomé und Príncipe"
"TOGO","Togo"
"UKRAINE","Ukraine"
"UNITED_ARAB_EMIRATES","Vereinigte Arabische Emirate"
"UNITED_KINGDOM","Vereinigtes Königreich"
"VANUATU","Vanuatu"
"BHUTAN","Bhutan"
"BOLIVIA","Bolivien"
"BOSNIA_AND_HERZEGOVINA","Bosnien und Herzegowina"
"BOTSWANA","Botswana"
"BRAZIL","Brasilien"
"BURUNDI","Burundi"
"CAMBODIA","Kambodscha"
"CZECH_REPUBLIC","Tschechische Republik"
"DENMARK","Dänemark"
"ETHIOPIA","Äthiopien"
"FIJI","Fidschi"
"FINLAND","Finnland"
"FRANCE","Frankreich"
"GABON","Gabun"
"GREECE","Griechenland"
"GRENADA","Grenada"
"GUATEMALA","Guatemala"
"GUINEA","Guinea"
"LIBERIA","Liberia"
"LIBYA","Libyen"
"LIECHTENSTEIN","Liechtenstein"
"MALTA","Malta"
"MARSHALL_ISLANDS","Marshallinseln"
"MAURITANIA","Mauretanien"
"SLOVAKIA","Slowakei"
"SLOVENIA","Slowenien"
"SOLOMON_ISLANDS","Salomonen"
"SOMALIA","Somalia"
"SOUTH_AFRICA","Südafrika"
"SOUTH_SUDAN","Südsudan"
"SUDAN","Sudan"
"SURINAME","Surinam"
"RESTORING_BACKUP","Backup wird wiederhergestellt"
"INPUT_TYPE","Eingabetyp"
"TOUCH","Touch"
"ANDORRA","Andorra"
"ANGOLA","Angola"
"ANTIGUA_AND_BARBUDA","Antigua und Barbuda"
"ARGENTINA","Argentinien"
"ARMENIA","Armenien"
"AUSTRALIA","Australien"
"AUSTRIA","Österreich"
"AZERBAIJAN","Aserbaidschan"
"BAHAMAS","Bahamas"
"BAHRAIN","Bahrain"
"BANGLADESH","Bangladesch"
"BARBADOS","Barbados"
"BELARUS","Belarus"
"BELGIUM","Belgien"
"BELIZE","Belize"
"BENIN","Benin"
"BRUNEI","Brunei"
"BULGARIA","Bulgarien"
"CAMEROON","Kamerun"
"CANADA","Kanada"
"CAPE_VERDE","Kap Verde"
"CENTRAL_AFRICAN_REPUBLIC","Zentralafrikanische Republik"
"CHAD","Tschad"
"CHILE","Chile"
"CHINA","China"
"COLOMBIA","Kolumbien"
"COMOROS","Komoren"
"CONGO","Kongo"
"COSTA_RICA","Costa Rica"
"CROATIA","Kroatien"
"CUBA","Kuba"
"CYPRUS","Zypern"
"DEMOCRATIC_REPUBLIC_OF_CONGO","Demokratische Republik Kongo"
"DJIBOUTI","Dschibuti"
"DOMINICA","Dominica"
"EGYPT","Ägypten"
"EL_SALVADOR","El Salvador"
"EQUATORIAL_GUINEA","Äquatorialguinea"
"ERITREA","Eritrea"
"ESTONIA","Estland"
"GAMBIA","Gambia"
"GEORGIA","Georgien"
"GERMANY","Deutschland"
"GHANA","Ghana"
"GUINEA-BISSAU","Guinea-Bissau"
"INDIA","Indien"
"IRAN","Iran"
"IRAQ","Irak"
"IRELAND","Irland"
"ISRAEL","Israel"
"IVORY_COAST","Elfenbeinküste"
"JAMAICA","Jamaika"
"JAPAN","Japan"
"JORDAN","Jordanien"
"KAZAKHSTAN","Kasachstan"
"KENYA","Kenia"
"KIRIBATI","Kiribati"
"KUWAIT","Kuwait"
"KYRGYZSTAN","Kirgisistan"
"LAOS","Laos"
"LATVIA","Lettland"
"LEBANON","Libanon"
"LESOTHO","Lesotho"
"LITHUANIA","Litauen"
"LUXEMBOURG","Luxemburg"
"MACEDONIA","Mazedonien"
"MADAGASCAR","Madagaskar"
"MALAWI","Malawi"
"MALAYSIA","Malaysia"
"MALDIVES","Malediven"
"MALI","Mali"
"MAURITIUS","Mauritius"
"MEXICO","Mexiko"
"MICRONESIA","Mikronesien"
"MOLDOVA","Moldau"
"MONACO","Monaco"
"MONGOLIA","Mongolei"
"MONTENEGRO","Montenegro"
"MOROCCO","Marokko"
"MOZAMBIQUE","Mosambik"
"NAMIBIA","Namibia"
"NAURU","Nauruisch"
"NEPAL","Nepal"
"NETHERLANDS","Niederlande"
"NEW_ZEALAND","Neuseeland"
"NICARAGUA","Nicaragua"
"NIGER","Niger"
"NIGERIA","Nigeria"
"NORWAY","Norwegen"
"OMAN","Oman"
"PAKISTAN","Pakistan"
"PALAU","Palau"
"PANAMA","Panama"
"PAPUA_NEW_GUINEA","Papua-Neuguinea"
"PARAGUAY","Paraguay"
"PERU","Peru"
"PHILIPPINES","Philippinen"
"POLAND","Polen"
"QATAR","Katar"
"RUSSIAN_FEDERATION","Russische Föderation"
"RWANDA","Ruanda"
"SAINT_KITTS_AND_NEVIS","St. Kitts und Nevis"
"SAMOA","Samoa"
"SAUDI_ARABIA","Saudi-Arabien"
"SENEGAL","Senegal"
"SERBIA","Serbien"
"SEYCHELLES","Seychellen"
"SIERRA_LEONE","Sierra Leone"
"SINGAPORE","Singapur"
"SRI_LANKA","Sri Lanka"
"SWEDEN","Schweden"
"SWITZERLAND","Schweiz"
"SYRIA","Syrien"
"TAJIKISTAN","Tadschikistan"
"TANZANIA","Tansania"
"THAILAND","Thailand"
"TONGA","Tonga"
"TRINIDAD_AND_TOBAGO","Trinidad und Tobago"
"TUNISIA","Tunesien"
"TURKEY","Türkei"
"TURKMENISTAN","Turkmenistan"
"TUVALU","Tuvaluisch"
"UGANDA","Uganda"
"VENEZUELA","Venezuela"
"VIETNAM","Vietnam"
"YEMEN","Jemen"
"ZAMBIA","Sambia"
"AFRICA","Afrika"
"ASIA","Asien"
"EUROPE","Europa"
"NORTH_AMERICA","Nordamerika"
"OCEANIA","Ozeanien"
"SOUTH_AMERICA","Südamerika"
"KEYBOARD","Tastatur"
"JOYPAD","Joypad"
"JOYPAD_STATUS","Joypad status"
"INPUT_DETECTION_MODE","Input detection mode"
"SFX_VOLUME","Sound effects volume"
"TRANSLATION_INSTRUCTIONS","You can fix errors or add new languages easily on Weblate, just click on the link below."
"BURKINA","Burkina"
"BURMA_(MYANMAR)","Burma (Myanmar)"
"KOREA_NORTH","Korea, North"
"KOREA_SOUTH","Korea, South"
"SWAZILAND","Swaziland"
"VATICAN_CITY","Vatican City"
