"source","target"
"RESTORING_BACKUP","RESTORING_BACKUP"
"GENERATING_PLAYERS","GENERATING_PLAYERS"
"SELECT","SELECT"
"BUDGET","BUDGET"
"SALARY_BUDGET","SALARY_BUDGET"
"STADIUM","STADIUM"
"PRESTIGE","PRESTIGE"
"POSITION","POSITION"
"VALUE","VALUE"
"SCALE","SCALE"
"GENERAL_SETTINGS","GENERAL_SETTINGS"
"INPUT_SETTINGS","INPUT_SETTINGS"
"NO_JOYPAD_CONNECTED","NO_JOYPAD_CONNECTED"
"INTERFACE_SETTINGS","INTERFACE_SETTINGS"
"THEMES","THEMES"
"FONT_COLOR","FONT_COLOR"
"BUTTONS_COLOR","BUTTONS_COLOR"
"BACKGROUND_COLOR","BACKGROUND_COLOR"
"VIM_MODE","VIM_MODE"
"JOYPAD_STATUS","JOYPAD_STATUS"
"INPUT_DETECTION_MODE","INPUT_DETECTION_MODE"
"INPUT_TYPE","INPUT_TYPE"
"JOYPAD","JOYPAD"
"KEYBOARD","KEYBOARD"
"TOUCH","TOUCH"
"CHANGE","CHANGE"
"PERSONS","PERSONS"
"YEAR","YEAR"
"COMPETITIONS","COMPETITIONS"
"TODAY","TODAY"
"NO_MATCH","NO_MATCH"
"TRANSFERMARKET","TRANSFERMARKET"
"NO_TEAM_FOUND","NO_TEAM_FOUND"
"NO_COMPETITION_FOUND","NO_COMPETITION_FOUND"
"YES","YES"
"NO","NO"
"EXIT_GAME","EXIT_GAME"
"SFX_VOLUME","SFX_VOLUME"
"RESTORE_DEFAULTS","RESTORE_DEFAULTS"
"RESTORE_DEFAULTS_TEXT","RESTORE_DEFAULTS_TEXT"
"SAVE_TEXT","SAVE_TEXT"
"PLAYER_SETTINGS","PLAYER_SETTINGS"
"CHOOSE_TEAM","CHOOSE_TEAM"
"SAVE_STATES","SAVE_STATES"
"FINANCES","FINANCES"
"WATCHLIST","WATCHLIST"
"SCOUTS","SCOUTS"
"SCOUT","SCOUT"
"JOBS","JOBS"
"HALL_OF_FAME","HALL_OF_FAME"
"HOME","HOME"
"AWAY","AWAY"
"GAME_SETTINGS","GAME_SETTINGS"
"WORST","WORST"
"BAD ","BAD "
"NEUTRAL","NEUTRAL"
"GOOD","GOOD"
"BEST","BEST"
"INJURED","INJURED"
"RECOVER","RECOVER"
"MAKE_OFFER","MAKE_OFFER"
"TRANSFERLIST","TRANSFERLIST"
"SCREEN_FADE_ANIMATION","SCREEN_FADE_ANIMATION"
"MORALITY","MORALITY"
"NATION","NATION"
"GENERAL","GENERAL"
"PHYSICAL","PHYSICAL"
"PACE","PACE"
"ACCELERATION","ACCELERATION"
"STAMINA","STAMINA"
"STRENGTH","STRENGTH"
"AGILITY","AGILITY"
"JUMP","JUMP"
"TECHNICAL","TECHNICAL"
"CROSSING","CROSSING"
"PASSING","PASSING"
"LONG_PASSING","LONG_PASSING"
"TACKLING","TACKLING"
"HEADING","HEADING"
"INTERCEPTION","INTERCEPTION"
"SHOOTING","SHOOTING"
"LONG_SHOOTING","LONG_SHOOTING"
"PENALTY","PENALTY"
"FINISHING","FINISHING"
"DRIBBLING","DRIBBLING"
"BLOCKING","BLOCKING"
"MENTAL","MENTAL"
"AGGRESSION","AGGRESSION"
"ANTICIPATION","ANTICIPATION"
"DECISIONS","DECISIONS"
"CONCENTRATION","CONCENTRATION"
"TEAMWORK","TEAMWORK"
"VISION","VISION"
"WORK_RATE","WORK_RATE"
"OFFENSIVE_MOVEMENT","OFFENSIVE_MOVEMENT"
"GOALKEEPER","GOALKEEPER"
"ACTION","ACTION"
"AGE","AGE"
"AGENT","AGENT"
"AMOUNT","AMOUNT"
"ATTACK","ATTACK"
"ATTRIBUTES","ATTRIBUTES"
"AUDIO","AUDIO"
"BACKUP","BACKUP"
"BITCOIN","BITCOIN"
"BLOCK","BLOCK"
"BUY","BUY"
"CENTER","CENTER"
"CITY","CITY"
"COMPETITION","COMPETITION"
"CONFIRM","CONFIRM"
"CONTRACT","CONTRACT"
"CONTINENT","CONTINENT"
"NOTES","NOTES"
"FULL_GAME","FULL_GAME"
"KEY_ACTIONS","KEY_ACTIONS"
"ONLY_GOALS","ONLY_GOALS"
"TRANSLATION_INSTRUCTIONS","TRANSLATION_INSTRUCTIONS"
