"source","target"
"EXIT","Sair"
"RANDOM","Aleatório"
"DEFAULT","Padrão"
"INITIALIZE_GAME","Iniciando o jogo…"
"GENERATING_PLAYERS","Gerando jogadores…"
"SELECT","Selecionar"
"BUDGET","Verba"
"SALARY_BUDGET","Verba salarial"
"STADIUM","Estádio"
"PRESTIGE","Prestígio"
"POSITION","Posição"
"VALUE","Valor"
"SCALE","Escala"
"GENERAL_SETTINGS","Geral"
"INPUT_SETTINGS","Entrada"
"NO_JOYPAD_CONNECTED","Controle não conectado"
"INTERFACE_SETTINGS","Interface"
"THEMES","Temas"
"FONT_COLOR","Cor da fonte"
"BUTTONS_COLOR","Cor dos botões"
"BACKGROUND_COLOR","Cor de fundo"
"VIM_MODE","Modo Vim"
"CHANGE","Alterar"
"PERSONS","Pessoas"
"YEAR","Ano"
"COMPETITIONS","Competições"
"TODAY","Hoje"
"NO_MATCH","Sem partida"
"TRANSFERMARKET","Transfermarket"
"NO_TEAM_FOUND","Time não encontrado"
"NO_COMPETITION_FOUND","Competição não encontrada"
"YES","Sim"
"NO","Não"
"EXIT_GAME","Sair do jogo?"
"RESTORE_DEFAULTS","Restaurar configuração padrão?"
"RESTORE_DEFAULTS_TEXT","Todas as mudanças serão perdidas, e o valor padrão, restaurado."
"SAVE_TEXT","Salvar o jogo antes de sair para o menu?"
"PLAYER_SETTINGS","Configurações dos jogadores"
"CHOOSE_TEAM","Escolha seu time"
"SAVE_STATES","Estados salvos"
"FINANCES","Finanças"
"WATCHLIST","Observados"
"SCOUTS","Olheiros"
"SCOUT","Olheiro"
"JOBS","Empregos"
"HALL_OF_FAME","Hall da fama"
"HOME","Em casa"
"AWAY","Fora de casa"
"GAME_SETTINGS","Configurações de jogo"
"WORST","Pior"
"BAD ","Ruim"
"NEUTRAL","Neutro"
"GOOD","Bom"
"BEST","Melhor"
"INJURED","Lesionado"
"RECOVER","Recuperar"
"MAKE_OFFER","Fazer proposta"
"TRANSFERLIST","Lista de transferências"
"SCREEN_FADE_ANIMATION","Animação de fade da tela"
"MORALITY","Moral"
"NATION","Nação"
"GENERAL","Geral"
"PHYSICAL","Físico"
"PACE","Velocidade"
"ACCELERATION","Aceleração"
"STAMINA","Resistência"
"STRENGTH","Força"
"AGILITY","Agilidade"
"JUMP","Pulo"
"TECHNICAL","Técnica"
"CROSSING","Cruzamento"
"PASSING","Passe"
"LONG_PASSING","Passe longo"
"TACKLING","Desarme"
"HEADING","Cabeceio"
"INTERCEPTION","Interceptação"
"SHOOTING","Chute"
"LONG_SHOOTING","Chute de longe"
"PENALTY","Pênalti"
"FINISHING","Finalização"
"DRIBBLING","Drible"
"BLOCKING","Bloqueio"
"MENTAL","Mental"
"AGGRESSION","Agressividade"
"ANTICIPATION","Antecipação"
"DECISIONS","Decisões"
"CONCENTRATION","Concentração"
"TEAMWORK","Trabalho em Equipe"
"VISION","Visão"
"WORK_RATE","Índice de Trabalho"
"OFFENSIVE_MOVEMENT","Movimento ofensivo"
"GOALKEEPER","Goleiro"
"ACTION","Ação"
"AGE","Idade"
"AGENT","Empresário"
"AMOUNT","Quantidade"
"ATTACK","Ataque"
"ATTRIBUTES","Atributos"
"AUDIO","Áudio"
"BACKUP","Backup"
"BITCOIN","Bitcoin"
"BLOCK","Bloquear"
"BUY","Comprar"
"CENTER","Centro"
"CITY","Cidade"
"COMPETITION","Competição"
"CONFIRM","Confirmar"
"CONTRACT","Contrato"
"CONTINENT","Continente"
"NOTES","Notas"
"","Afghanistan"
"","Switzerland"
"","Highlights"
"","Angola"
"","Bulgaria"
"","Andorra"
"","Suriname"
"","East Timor"
"","Haiti"
"","Sudan"
"","Jamaica"
"","Turkey"
"","Slovenia"
"","Ivory Coast"
"","Paraguay"
"","South Sudan"
"","Croatia"
"","United Kingdom"
"","Sweden"
"","Swaziland"
"","Azerbaijan"
"","Ireland"
"","Democratic Republic of Congo"
"","Costa Rica"
"","Tonga"
"","Burkina"
"","Denmark"
"","Honduras"
"","Peru"
"","Philippines"
"","Saint Lucia"
"","Vatican City"
"","Trinidad and Tobago"
"","Tajikistan"
"","Belarus"
"","Bosnia and Herzegovina"
"","Jordan"
"","Seychelles"
"","Vanuatu"
"","Saint Kitts and Nevis"
"","Somalia"
"","Tunisia"
"","Benin"
"","Kuwait"
"","Only goals"
"","Samoa"
"","Israel"
"","San Marino"
"","Sri Lanka"
"","Antigua and Barbuda"
"","Kyrgyzstan"
"","New Zealand"
"","Papua New Guinea"
"","Brunei"
"","Japan"
"","Burundi"
"","Saint Vincent and the Grenadines"
"","Belize"
"","Slovakia"
"","Guyana"
"","South Africa"
"","Serbia"
"","Montenegro"
"","Kazakhstan"
"","Czech Republic"
"","Syria"
"","United Arab Emirates"
"","Saudi Arabia"
"","Liberia"
"","Burma (Myanmar)"
"","Sierra Leone"
"","Solomon Islands"
"","Monaco"
"","Guinea-Bissau"
"","Iceland"
"","Micronesia"
"","Maldives"
"","Morocco"
"","Hungary"
"","Latvia"
"","Luxembourg"
"","Lithuania"
"","Malawi"
"","Liechtenstein"
"","Lebanon"
"","Moldova"
"","Mauritania"
"","Malaysia"
"","Mauritius"
"","Nigeria"
"","Niger"
"","Nicaragua"
"","Mongolia"
"","Finland"
"","Cameroon"
"","Bahamas"
"","Central African Republic"
"","Input type"
"","Algeria"
"","Bahrain"
"","Ukraine"
"","Cambodia"
"","Guinea"
"","Botswana"
"","Comoros"
"","Cape Verde"
"","Yemen"
"","Zimbabwe"
"","North America"
"","Eritrea"
"","Djibouti"
"","Joypad"
"","Cuba"
"","Cyprus"
"","Ethiopia"
"","Kenya"
"","Korea, North"
"","Kiribati"
"","Korea, South"
"","Panama"
"","Oman"
"","Palau"
"","Pakistan"
"","Portugal"
"","Sao Tome and Principe"
"","Singapore"
"","USA"
"","Uzbekistan"
"","Uruguay"
"","Asia"
"","Africa"
"","Estonia"
"","Australia"
"","Gabon"
"","You can fix errors or add new languages easily on Weblate, just click on the link below."
"","Armenia"
"","Austria"
"","Bolivia"
"","Bhutan"
"","Chile"
"","Colombia"
"","China"
"","Dominica"
"","Dominican Republic"
"","Ghana"
"","Greece"
"","Iran"
"","India"
"","Lesotho"
"","Libya"
"","Malta"
"","Mexico"
"","Marshall Islands"
"","Mali"
"","Mozambique"
"","Nepal"
"","Namibia"
"","Netherlands"
"","Rwanda"
"","Russian Federation"
"","Senegal"
"","Thailand"
"","Tanzania"
"","Togo"
"","Uganda"
"","Turkmenistan"
"","Tuvalu"
"","Europe"
"","Grenada"
"","Fiji"
"","Equatorial Guinea"
"","Guatemala"
"","France"
"","Gambia"
"","Germany"
"","Restoring backup…"
"","Input detection mode"
"","Keyboard"
"","Sound effects volume"
"","Chad"
"","Congo"
"","El Salvador"
"","Ecuador"
"","Madagascar"
"","Macedonia"
"","Venezuela"
"","Zambia"
"","Vietnam"
"","Qatar"
"","Poland"
"","South America"
"","Oceania"
"","Iraq"
"","Barbados"
"","Indonesia"
"","Albania"
"","Joypad status"
"","Laos"
"","Touch"
"","Georgia"
"","Canada"
"","Brazil"
"","Full game"
"","Bangladesh"
"","Argentina"
"","Nauru"
"","Egypt"
"","Norway"
"","Belgium"
