"source","target"
"SAVING_GAME","A guardar o teu jogo…"
"EXIT","Sair"
"RANDOM","Aleatório"
"DEFAULT","Padrão"
"INITIALIZE_GAME","A iniciar o jogo…"
"GENERATING_PLAYERS","A gerar todos os jogadores…"
"SELECT","Selecionar"
"BUDGET","Orçamento"
"SALARY_BUDGET","Orçamento para salários"
"STADIUM","Pavilhão"
"PRESTIGE","Prestígio"
"POSITION","Posição"
"VALUE","Valor"
"SCALE","Escala"
"GENERAL_SETTINGS","Geral"
"INPUT_SETTINGS","Inserir"
"NO_JOYPAD_CONNECTED","Comando não conectado"
"INTERFACE_SETTINGS","Interface"
"THEMES","Temas"
"FONT_COLOR","Cor da fonte"
"BUTTONS_COLOR","Cor dos butões"
"BACKGROUND_COLOR","Cor do fundo"
"VIM_MODE","Modo Vim"
"CHANGE","Alterar"
"PERSONS","Pessoas"
"YEAR","Ano"
"COMPETITIONS","Competições"
"TODAY","Hoje"
"NO_MATCH","Sem correspondência"
"TRANSFERMARKET","Mercado de transferências"
"NO_TEAM_FOUND","Nenhuma equipa encontrada"
"NO_COMPETITION_FOUND","Nenhuma competição encontrada"
"YES","Sim"
"NO","Não"
"EXIT_GAME","Sair do jogo?"
"RESTORE_DEFAULTS","Restaurar definições padrão?"
"RESTORE_DEFAULTS_TEXT","Todas as alterações serão perdidas e restauradas para os valores padrão."
"SAVE_TEXT","Guardar jogo antes de sair para o menu?"
"PLAYER_SETTINGS","Definições de jogadores"
"CHOOSE_TEAM","Escolhe a tua equipa"
"SAVE_STATES","Guardar estados"
"FINANCES","Finanças"
"WATCHLIST","Lista preferencial"
"SCOUTS","Olheiros"
"SCOUT","Olheiro"
"JOBS","Trabalhos"
"HALL_OF_FAME","Quadro de Honra"
"HOME","Casa"
"AWAY","Fora"
"GAME_SETTINGS","Definições de Jogo"
"WORST","Pior"
"BAD ","Mau"
"NEUTRAL","Neutro"
"GOOD","Bom"
"BEST","Melhor"
"INJURED","Lesionado"
"RECOVER","Recuperar"
"MAKE_OFFER","Fazer proposta"
"TRANSFERLIST","Lista de transferências"
"SCREEN_FADE_ANIMATION","Animação de ecrã"
"MORALITY","Moral"
"NATION","Nação"
"GENERAL","Geral"
"PHYSICAL","Físico"
"PACE","Velocidade"
"ACCELERATION","Aceleração"
"STAMINA","Resistência"
"STRENGTH","Força"
"AGILITY","Agilidade"
"JUMP","Salto"
"TECHNICAL","Técnico"
"CROSSING","Cruzamento"
"PASSING","Passe"
"LONG_PASSING","Passes longos"
"TACKLING","Desarme"
"HEADING","Cabeceamento"
"INTERCEPTION","Interceção"
"SHOOTING","Remate"
"LONG_SHOOTING","Remates longos"
"PENALTY","Penálti"
"FINISHING","Finalização"
"DRIBBLING","Drible"
"BLOCKING","Bloqueios"
"MENTAL","Mental"
"AGGRESSION","Agressividade"
"ANTICIPATION","Antecipação"
"DECISIONS","Decisões"
"CONCENTRATION","Concentração"
"TEAMWORK","Trabalho em Equipa"
"VISION","Visão"
"WORK_RATE","Índice de trabalho"
"OFFENSIVE_MOVEMENT","Movimento ofensivo"
"GOALKEEPER","Guarda Redes"
"ACTION","Ação"
"AGE","Idade"
"AGENT","Agente"
"AMOUNT","Quantidade"
"ATTACK","Ataque"
"ATTRIBUTES","Atributos"
"AUDIO","Áudio"
"BACKUP","Restauro"
"BITCOIN","Bitcoin"
"BLOCK","Bloquear"
"BUY","Comprar"
"CENTER","Centro"
"CITY","Cidade"
"COMPETITION","Competição"
"CONFIRM","Confirmar"
"CONTRACT","Contrato"
"CONTINENT","Continente"
"NOTES","Notas"
"","Cyprus"
"","Czech Republic"
"","Chile"
"","Angola"
"","Bulgaria"
"","Austria"
"","Belarus"
"","Touch"
"","Egypt"
"","Canada"
"","Syria"
"","Pakistan"
"","Korea, South"
"","Nicaragua"
"","Liberia"
"","Bangladesh"
"","Joypad status"
"","Saint Vincent and the Grenadines"
"","Burundi"
"","Belize"
"","Slovakia"
"","Guyana"
"","Gambia"
"","Zambia"
"","Greece"
"","Norway"
"","Algeria"
"","Kuwait"
"","Tonga"
"","Trinidad and Tobago"
"","Thailand"
"","Tunisia"
"","Togo"
"","United Kingdom"
"","Ukraine"
"","United Arab Emirates"
"","Argentina"
"","Botswana"
"","Georgia"
"","Congo"
"","Belgium"
"","Saudi Arabia"
"","Singapore"
"","Burkina"
"","Bhutan"
"","Bosnia and Herzegovina"
"","Brunei"
"","Brazil"
"","Colombia"
"","China"
"","Comoros"
"","Denmark"
"","Djibouti"
"","Eritrea"
"","Iran"
"","India"
"","Libya"
"","Lithuania"
"","Lebanon"
"","Malta"
"","Marshall Islands"
"","Mali"
"","Moldova"
"","Mozambique"
"","Mongolia"
"","Namibia"
"","Nauru"
"","Montenegro"
"","Monaco"
"","Morocco"
"","Paraguay"
"","Peru"
"","Philippines"
"","South Sudan"
"","Sri Lanka"
"","Switzerland"
"","Full game"
"","Highlights"
"","Input type"
"","Bahamas"
"","Azerbaijan"
"","Barbados"
"","Burma (Myanmar)"
"","Cuba"
"","East Timor"
"","Haiti"
"","Latvia"
"","Jamaica"
"","Kenya"
"","El Salvador"
"","Dominica"
"","Dominican Republic"
"","Ivory Coast"
"","Nigeria"
"","Nepal"
"","Oman"
"","Palau"
"","Niger"
"","New Zealand"
"","Netherlands"
"","Qatar"
"","Senegal"
"","Rwanda"
"","Suriname"
"","Uganda"
"","Sudan"
"","USA"
"","Turkey"
"","Venezuela"
"","Slovenia"
"","Sao Tome and Principe"
"","Sweden"
"","Swaziland"
"","Saint Lucia"
"","Vatican City"
"","Uruguay"
"","Yemen"
"","Panama"
"","Luxembourg"
"","Democratic Republic of Congo"
"","Mauritania"
"","Central African Republic"
"","Chad"
"","Croatia"
"","Ethiopia"
"","Zimbabwe"
"","Ireland"
"","You can fix errors or add new languages easily on Weblate, just click on the link below."
"","Costa Rica"
"","Equatorial Guinea"
"","Honduras"
"","Mexico"
"","Poland"
"","Portugal"
"","Guatemala"
"","Indonesia"
"","Korea, North"
"","Tajikistan"
"","Uzbekistan"
"","Europe"
"","Malaysia"
"","Jordan"
"","Seychelles"
"","Vanuatu"
"","Saint Kitts and Nevis"
"","Malawi"
"","Somalia"
"","Mauritius"
"","Only goals"
"","Samoa"
"","San Marino"
"","Antigua and Barbuda"
"","Liechtenstein"
"","Kyrgyzstan"
"","South America"
"","Turkmenistan"
"","Papua New Guinea"
"","Serbia"
"","Kazakhstan"
"","Input detection mode"
"","Russian Federation"
"","Keyboard"
"","Japan"
"","France"
"","Ecuador"
"","Vietnam"
"","South Africa"
"","Tuvalu"
"","Tanzania"
"","Estonia"
"","Sierra Leone"
"","Solomon Islands"
"","Cambodia"
"","Guinea"
"","Iraq"
"","Asia"
"","Iceland"
"","Africa"
"","Micronesia"
"","Maldives"
"","Gabon"
"","Germany"
"","Oceania"
"","Cape Verde"
"","Hungary"
"","Grenada"
"","Afghanistan"
"","Armenia"
"","Fiji"
"","Lesotho"
"","Joypad"
"","Andorra"
"","Ghana"
"","Finland"
"","Cameroon"
"","Kiribati"
"","Bahrain"
"","Israel"
"","Guinea-Bissau"
"","Australia"
"","Restoring backup…"
"","Sound effects volume"
"","Bolivia"
"","Madagascar"
"","North America"
"","Albania"
"","Laos"
"","Macedonia"
"","Benin"
