"context","target"
"BITCOIN","Bitcoin"
"BLOCK","Блокувати"
"BUY","Придбати"
"CENTER","Центр"
"CITY","Місто"
"COMPETITION","Конкуренція"
"CONFIRM","Підтвердити"
"CONTRACT","Контракт"
"CONTINENT","Континент"
"NOTES","Примітки"
"FULL_GAME","Повна гра"
"KEY_ACTIONS","Основні моменти"
"ONLY_GOALS","Тільки голи"
"JOYPAD_STATUS","Статус джойстика"
"INPUT_DETECTION_MODE","Режим виявлення входу"
"INPUT_TYPE","Тип введення"
"JOYPAD","Джойпад"
"KEYBOARD","Клавіатура"
"TOUCH","Дотик"
"SFX_VOLUME","Гучність звукових ефектів"
"TRANSLATION_INSTRUCTIONS","Ви можете легко виправити помилки або додати нові мови на Weblate, просто клацнувши посилання нижче."
"RESTORING_BACKUP","Відновлення резервної копії…"
"ANTIGUA_AND_BARBUDA","Антигуа і Барбуда"
"ARGENTINA","Аргентина"
"BOSNIA_AND_HERZEGOVINA","Боснія і Герцеговина"
"BOTSWANA","Ботсвана"
"BRAZIL","Бразилія"
"CAMBODIA","Камбоджа"
"CAMEROON","Камерун"
"CANADA","Канада"
"CAPE_VERDE","Кабо-Верде"
"COLOMBIA","Колумбія"
"CONGO","Конго"
"MAURITANIA","Мавританія"
"MAURITIUS","Маврикій"
"NAMIBIA","Намібія"
"SOMALIA","Сомалі"
"SRI_LANKA","Шрі-Ланка"
"YEMEN","Ємен"
"ZAMBIA","Замбія"
"ZIMBABWE","Зімбабве"
"AFRICA","Африка"
"ASIA","Азії"
"EUROPE","Європа"
"QATAR","Катар"
"RUSSIAN_FEDERATION","Російська Федерація"
"RWANDA","Руанда"
"SAINT_KITTS_AND_NEVIS","Сент-Кіттс і Невіс"
"SAINT_LUCIA","Сент-Люсія"
"SAINT_VINCENT_AND_THE_GRENADINES","Сент-Вінсент і Гренадини"
"SAMOA","Самоа"
"SUDAN","Судан"
"BAHRAIN","Бахрейн"
"BRUNEI","Бруней"
"BULGARIA","Болгарія"
"BURUNDI","Бурунді"
"GEORGIA","Джорджія"
"GERMANY","Німеччина"
"GHANA","Гана"
"GUINEA-BISSAU","Гвінея-Бісау"
"LAOS","Лаос"
"LATVIA","Латвія"
"LEBANON","Ліван"
"PAKISTAN","Пакистан"
"TUNISIA","Туніс"
"TURKEY","Туреччина"
"TURKMENISTAN","Туркменістан"
"TUVALU","тувалу"
"UNITED_ARAB_EMIRATES","Об'єднані Арабські Емірати"
"UNITED_KINGDOM","Велика Британія"
"URUGUAY","Уругвай"
"USA","США"
"UZBEKISTAN","Узбекистан"
"VANUATU","Вануату"
"SOUTH_AMERICA","Південна Америка"
"AFGHANISTAN","Афганістан"
"ALBANIA","Албанія"
"ALGERIA","Алжир"
"ANDORRA","Андорра"
"ANGOLA","Ангола"
"ARMENIA","Вірменія"
"AUSTRALIA","Австралія"
"AUSTRIA","Австрія"
"AZERBAIJAN","Азербайджан"
"BANGLADESH","Бангладеш"
"BARBADOS","Барбадос"
"BELARUS","Білорусь"
"BELGIUM","Бельгія"
"BELIZE","Беліз"
"BENIN","Бенін"
"BHUTAN","Бутан"
"BOLIVIA","Болівія"
"CENTRAL_AFRICAN_REPUBLIC","Центральноафриканська Республіка"
"CHAD","Чад"
"CHILE","Чилі"
"CHINA","Китай"
"COMOROS","Коморські Острови"
"COSTA_RICA","Коста-Рика"
"CROATIA","Хорватія"
"CUBA","Куба"
"CYPRUS","Кіпр"
"CZECH_REPUBLIC","Чехія"
"DEMOCRATIC_REPUBLIC_OF_CONGO","Демократична Республіка Конго"
"DENMARK","Данія"
"DJIBOUTI","Джибуті"
"DOMINICA","Домініка"
"DOMINICAN_REPUBLIC","Домініканська Республіка"
"EAST_TIMOR","Східний Тимор"
"ECUADOR","Еквадор"
"EGYPT","Єгипет"
"EL_SALVADOR","Сальвадор"
"EQUATORIAL_GUINEA","Екваторіальна Гвінея"
"ERITREA","Еритрея"
"ESTONIA","Естонія"
"ETHIOPIA","Ефіопія"
"FIJI","Фіджі"
"FINLAND","Фінляндія"
"FRANCE","Франція"
"GABON","Габон"
"GAMBIA","Гамбія"
"GREECE","Греція"
"GRENADA","Гренада"
"GUATEMALA","Гватемала"
"GUINEA","Гвінея"
"GUYANA","Гаяна"
"HAITI","Гаїті"
"HONDURAS","Гондурас"
"HUNGARY","Угорщина"
"ICELAND","Ісландія"
"INDIA","Індія"
"INDONESIA","Індонезія"
"IRAN","Іран"
"IRAQ","Ірак"
"IRELAND","Ірландія"
"ISRAEL","Ізраїль"
"IVORY_COAST","Кот-Д'Ивуар"
"JAMAICA","Ямайка"
"JAPAN","Японія"
"JORDAN","Йорданія"
"KAZAKHSTAN","Казахстан"
"KENYA","Кенія"
"KIRIBATI","Кірибаті"
"KUWAIT","Кувейт"
"KYRGYZSTAN","Киргизстан"
"LESOTHO","Лесото"
"LIBERIA","Ліберія"
"LIBYA","Лівія"
"LIECHTENSTEIN","Ліхтенштейн"
"LITHUANIA","Литва"
"LUXEMBOURG","Люксембург"
"MACEDONIA","Республіка Македонія"
"MADAGASCAR","Мадагаскар"
"MALAWI","Малаві"
"MALAYSIA","Малайзія"
"MALDIVES","Мальдіви"
"MALI","Малі"
"MALTA","Мальта"
"MARSHALL_ISLANDS","Маршаллові Острови"
"MEXICO","Мексика"
"MOLDOVA","Молдова"
"MONACO","Монако"
"MONGOLIA","Монголія"
"MONTENEGRO","Чорногорія"
"MOROCCO","Марокко"
"MOZAMBIQUE","Мозамбік"
"NAURU","науру"
"NEPAL","Непал"
"NETHERLANDS","Нідерланди"
"NEW_ZEALAND","Нова Зеландія"
"NICARAGUA","Нікарагуа"
"NIGER","Нігер"
"NIGERIA","Нігерія"
"NORWAY","Норвегія"
"OMAN","Оман"
"PALAU","Республіка Палау"
"PANAMA","Панама"
"PAPUA_NEW_GUINEA","Папуа Нова Гвінея"
"PARAGUAY","Парагвай"
"PERU","Перу"
"PHILIPPINES","Філіппіни"
"POLAND","Польща"
"PORTUGAL","Португалія"
"SAN_MARINO","Сан-Марино"
"SAUDI_ARABIA","Саудівська Аравія"
"SENEGAL","Сенегал"
"SERBIA","Сербія"
"SEYCHELLES","Сейшельські Острови"
"SIERRA_LEONE","Сьєрра-Леоне"
"SINGAPORE","Сінгапур"
"SLOVAKIA","Словаччина"
"SLOVENIA","Словенія"
"SOLOMON_ISLANDS","Соломонові Острови"
"SOUTH_AFRICA","Південно-Африканська Республіка"
"SOUTH_SUDAN","Південний Судан"
"SURINAME","Суринам"
"SWEDEN","Швеція"
"SWITZERLAND","Швейцарія"
"SYRIA","Сирія"
"TAJIKISTAN","Таджикистан"
"TANZANIA","Танзанія"
"THAILAND","Таїланд"
"TOGO","Того"
"TONGA","Тонганська"
"TRINIDAD_AND_TOBAGO","Тринідад і Тобаго"
"UGANDA","Уганда"
"UKRAINE","Україна"
"VENEZUELA","Венесуела"
"VIETNAM","В'єтнам"
"NORTH_AMERICA","Північна Америка"
"OCEANIA","Океанія"
"KOREA_NORTH","Корея, Пн"
"KOREA_SOUTH","Корея, Пд"
"MICRONESIA","Мікронезія"
"SAO_TOME_AND_PRINCIPE","Сан-Томе і Принсіпі"
"SWAZILAND","Свазіленд"
"VATICAN_CITY","Ватикан"
"BAHAMAS","Багамські острови"
"BURKINA","Буркіна"
"BURMA_(MYANMAR)","Бірма (М'янма)"
